CS,Density,WC,pH,EC,F,G,Pollen_analysis,Viscosity,Purity,Price
9.59,1.38,14.7,6.09,0.74,43.55,42.43,Borage,1652.31,0.85,633.07
8.78,1.45,24.89,4.43,0.75,25.67,42.04,Borage,2221.75,0.77,573.43
3.25,1.4,15.16,7.08,0.75,26.51,21.28,Tupelo,3391.61,0.88,821.1
2.57,1.46,20.72,6.2,0.8,32.94,29.09,Tupelo,3773.64,0.68,638.37
9.91,1.83,13.89,4.44,0.8,23.18,28.56,Blueberry,7552.73,0.82,777.84
6.56,1.65,23.17,3.12,0.71,24.04,25.28,Sage,6580.18,1.0,926.3
3.75,1.61,16.75,4.2,0.73,27.45,39.17,Blueberry,3178.71,0.82,777.84
2.86,1.54,12.87,6.46,0.84,25.75,39.78,Acacia,4684.07,0.66,359.59
3.39,1.55,17.93,3.75,0.87,25.93,40.25,Heather,2369.27,0.98,907.76
3.93,1.45,13.71,3.57,0.87,36.17,26.72,Sunflower,5462.84,0.84,745.87
6.92,1.68,21.25,3.95,0.73,20.99,36.9,Chestnut,3656.88,1.0,966.61
5.25,1.36,15.39,5.22,0.84,38.12,26.49,Heather,3379.73,0.99,918.88
8.95,1.76,12.93,3.43,0.9,33.72,33.37,Chestnut,5118.98,0.84,813.75
3.04,1.76,15.73,7.36,0.77,47.42,21.85,Eucalyptus,3017.01,0.64,442.21
3.17,1.44,17.06,7.17,0.72,22.21,41.64,Lavender,4346.93,1.0,603.85
8.97,1.69,19.99,6.14,0.77,49.74,25.93,Borage,4372.77,0.66,492.92
1.88,1.69,19.82,3.08,0.87,34.09,35.35,Chestnut,5467.05,0.84,813.75
2.01,1.49,12.04,3.18,0.85,39.49,37.36,Chestnut,4371.48,0.84,813.75
6.09,1.51,24.43,6.28,0.88,31.96,26.37,Blueberry,7488.34,0.99,938.88
8.77,1.29,14.68,4.37,0.89,35.24,25.33,Alfalfa,6392.08,0.84,364.2
2.94,1.42,12.52,4.94,0.75,34.76,25.89,Acacia,5134.06,1.0,543.41
6.77,1.52,20.19,6.49,0.75,25.83,37.32,Tupelo,4317.04,0.97,910.13
6.31,1.27,20.27,7.03,0.72,29.01,27.77,Lavender,6468.52,0.97,586.93
4.99,1.33,23.06,3.11,0.7,21.12,22.46,Blueberry,6231.94,1.0,946.46
9.74,1.44,13.81,7.13,0.76,45.11,36.6,Alfalfa,3506.81,0.9,390.18
6.07,1.77,24.62,6.89,0.73,47.16,39.97,Clover,7078.34,0.97,205.21
8.71,1.48,12.6,2.62,0.78,42.53,28.89,Sage,9765.56,0.64,587.93
5.66,1.33,13.47,5.57,0.74,40.91,27.46,Avocado,2579.8,0.97,949.32
7.58,1.72,17.84,4.48,0.75,37.43,38.4,Thyme,2429.55,1.0,916.22
7.09,1.69,20.74,3.21,0.88,43.41,34.74,Orange Blossom,8857.55,1.0,251.38
3.12,1.32,15.74,2.56,0.76,21.4,26.45,Borage,5071.36,0.66,492.92
5.89,1.55,13.23,4.72,0.72,41.51,35.1,Sage,6295.36,1.0,926.3
7.97,1.21,14.54,2.61,0.83,42.93,44.95,Eucalyptus,8334.81,0.64,442.21
8.81,1.27,22.26,4.38,0.74,25.46,34.71,Sunflower,9568.15,0.8,704.2
3.91,1.64,20.42,3.04,0.87,41.19,28.74,Chestnut,3450.01,0.82,794.4
6.86,1.85,24.67,4.73,0.76,43.76,36.94,Heather,8964.1,1.0,926.3
7.67,1.63,19.2,4.27,0.71,39.23,25.92,Tupelo,5328.39,0.84,788.3
6.25,1.64,18.69,4.75,0.7,46.84,35.24,Manuka,3627.76,1.0,976.69
5.41,1.64,17.07,6.42,0.74,30.55,23.32,Wildflower,8396.64,1.0,321.85
9.18,1.38,21.84,3.91,0.84,41.19,38.75,Alfalfa,9452.98,1.0,432.62
3.66,1.56,21.6,2.8,0.89,42.98,34.76,Avocado,7155.29,0.66,646.3
8.94,1.45,13.65,5.79,0.78,43.55,43.75,Acacia,7023.97,0.64,345.99
7.14,1.69,23.9,3.61,0.72,47.34,21.28,Wildflower,5708.07,1.0,321.85
9.67,1.36,20.13,4.32,0.74,46.07,27.4,Borage,1854.54,0.8,592.06
7.14,1.71,17.67,5.57,0.89,28.48,25.19,Buckwheat,7660.36,1.0,684.45
9.31,1.78,18.74,7.02,0.88,24.62,33.32,Avocado,3565.61,0.66,646.3
9.64,1.64,17.44,3.78,0.81,29.13,41.06,Thyme,5612.45,1.0,916.22
5.99,1.77,20.9,4.91,0.83,31.96,26.45,Alfalfa,5496.23,1.0,432.62
3.57,1.43,21.07,7.19,0.76,47.83,38.59,Sunflower,2458.22,0.88,775.13
5.32,1.67,12.3,3.33,0.9,35.26,30.24,Avocado,1691.38,1.0,976.69
4.64,1.69,12.92,2.89,0.81,32.64,20.07,Clover,9732.05,0.63,132.95
4.76,1.56,24.48,7.16,0.81,40.39,43.61,Tupelo,3347.78,0.64,596.2
9.65,1.41,14.28,6.38,0.81,47.85,26.11,Clover,3001.19,0.9,190.42
8.81,1.23,13.39,4.27,0.87,48.32,21.9,Orange Blossom,6533.55,0.8,200.31
9.9,1.22,22.82,4.35,0.79,33.14,33.36,Buckwheat,9246.53,0.84,576.21
1.03,1.45,22.24,6.59,0.71,26.15,44.47,Rosemary,1837.04,0.61,460.31
5.75,1.76,19.42,5.38,0.73,21.0,36.58,Sunflower,5862.02,0.97,861.15
6.95,1.73,20.79,4.76,0.8,44.13,32.77,Rosemary,5130.6,1.0,754.98
5.42,1.52,12.07,4.6,0.87,20.45,42.81,Rosemary,7879.74,1.0,754.98
8.71,1.74,17.33,4.41,0.83,39.63,37.28,Wildflower,5570.17,1.0,321.85
4.23,1.26,21.32,3.72,0.88,42.09,28.15,Blueberry,2160.98,0.8,752.26
8.69,1.8,23.94,6.47,0.77,44.16,21.01,Wildflower,6173.31,0.64,204.93
9.79,1.82,17.06,5.42,0.79,44.79,43.26,Eucalyptus,6186.74,0.85,588.17
4.07,1.31,20.89,6.21,0.73,30.14,24.47,Blueberry,8905.82,0.66,621.56
6.03,1.37,15.38,4.71,0.7,20.02,22.54,Manuka,8111.19,1.0,976.69
9.55,1.46,18.1,3.6,0.86,37.7,26.44,Blueberry,3823.74,1.0,946.46
3.5,1.7,18.82,6.48,0.84,23.34,44.37,Acacia,6294.8,0.64,345.99
6.72,1.84,16.19,5.46,0.84,26.27,25.48,Sage,7062.75,0.97,900.34
6.76,1.81,18.85,5.54,0.82,38.34,43.2,Orange Blossom,5051.19,0.97,243.08
9.35,1.49,20.01,4.65,0.86,48.59,22.83,Thyme,7516.72,0.8,730.06
8.0,1.23,15.17,4.86,0.73,43.12,22.98,Borage,2180.89,0.77,573.43
2.58,1.5,16.15,5.5,0.72,46.26,32.37,Tupelo,7140.59,0.66,619.63
1.27,1.75,22.71,6.35,0.74,36.15,37.44,Thyme,1897.19,0.66,599.87
5.28,1.65,19.16,5.1,0.84,45.94,20.93,Avocado,1705.74,0.92,898.48
2.81,1.74,13.73,2.89,0.84,34.33,35.34,Lavender,8139.66,0.68,411.67
5.6,1.32,21.96,6.93,0.79,24.31,32.98,Borage,2357.38,0.94,703.9
6.44,1.58,15.84,7.38,0.85,40.67,25.28,Wildflower,1772.78,0.94,304.13
2.46,1.42,12.01,4.35,0.83,45.7,20.15,Thyme,3533.16,1.0,916.22
8.76,1.33,15.02,6.7,0.77,20.3,20.31,Acacia,4825.63,0.64,345.99
1.1,1.75,20.29,4.5,0.73,45.59,28.96,Borage,5030.42,0.82,612.19
1.72,1.4,15.87,4.76,0.74,22.7,31.36,Avocado,1629.81,1.0,976.69
8.76,1.38,15.81,7.47,0.72,46.75,24.83,Acacia,2165.1,0.85,461.82
3.38,1.25,13.7,4.19,0.76,39.11,21.31,Blueberry,9933.84,0.79,747.52
9.03,1.48,12.21,2.63,0.89,33.38,39.63,Sage,2506.16,0.68,631.49
2.28,1.62,14.54,2.82,0.86,39.64,23.79,Sage,9107.51,0.66,608.32
6.45,1.41,21.74,2.83,0.86,33.74,32.55,Tupelo,1776.42,1.0,936.38
7.08,1.74,15.41,6.28,0.88,22.61,33.04,Wildflower,8647.2,0.97,312.83
7.25,1.61,18.44,4.25,0.84,23.55,23.25,Sunflower,5907.82,0.8,705.97
9.73,1.74,15.48,7.2,0.83,20.7,32.27,Buckwheat,4262.65,0.66,452.92
5.77,1.37,13.35,7.12,0.82,22.99,21.98,Avocado,6385.36,1.0,976.69
4.12,1.4,19.87,6.95,0.79,26.84,37.96,Rosemary,3962.55,0.9,680.92
4.32,1.65,21.5,6.92,0.85,27.88,28.23,Thyme,8942.31,0.66,606.29
9.46,1.5,12.16,4.75,0.81,24.74,26.4,Thyme,9028.97,0.82,752.99
2.06,1.42,21.72,6.45,0.9,36.5,38.18,Manuka,8019.23,0.92,900.44
9.89,1.48,23.08,2.9,0.9,41.86,26.37,Manuka,5013.39,0.66,646.3
1.43,1.57,22.14,4.96,0.77,42.13,42.01,Eucalyptus,2979.13,0.8,553.41
1.11,1.56,23.8,7.07,0.77,39.59,35.65,Orange Blossom,7606.57,0.68,171.38
7.37,1.47,17.72,2.99,0.84,33.26,30.13,Lavender,6483.82,0.89,538.57
9.74,1.81,16.07,6.72,0.85,26.63,38.79,Borage,6573.36,0.66,492.92
5.4,1.31,21.9,2.94,0.84,27.44,37.77,Manuka,2867.49,0.97,949.32
7.34,1.63,21.39,5.0,0.75,23.68,29.81,Thyme,6513.61,0.66,606.29
5.48,1.8,12.53,2.52,0.82,35.17,34.46,Manuka,5940.95,0.99,968.87
1.38,1.7,13.94,2.8,0.82,24.39,42.34,Thyme,7422.31,0.64,583.37
1.63,1.41,23.29,5.7,0.81,46.11,29.9,Manuka,8508.47,0.9,880.89
3.11,1.79,23.24,3.71,0.72,25.78,20.95,Thyme,8165.21,0.8,730.06
3.81,1.47,16.75,4.61,0.73,30.55,40.74,Alfalfa,3517.45,0.82,353.38
9.15,1.8,13.24,4.06,0.84,46.32,25.64,Borage,3869.54,0.82,612.19
8.49,1.83,16.13,4.2,0.82,41.09,28.54,Borage,9203.42,0.82,612.19
8.37,1.67,18.01,7.04,0.8,29.71,40.48,Clover,2547.97,0.85,178.79
8.35,1.84,16.69,2.59,0.83,24.83,24.23,Acacia,6145.55,0.64,345.99
6.92,1.29,24.05,4.18,0.86,36.8,22.23,Borage,9180.74,1.0,744.91
1.92,1.76,20.55,6.96,0.83,25.66,24.64,Chestnut,4859.86,0.64,615.46
8.21,1.59,17.92,7.4,0.7,35.26,37.45,Avocado,2333.27,0.86,844.72
9.52,1.59,13.8,6.3,0.82,33.42,22.79,Alfalfa,8972.95,0.66,284.11
6.13,1.69,22.49,7.12,0.79,36.22,39.36,Alfalfa,5151.26,0.99,429.15
1.26,1.25,22.75,7.4,0.82,37.77,21.4,Eucalyptus,3639.16,0.66,456.11
1.89,1.3,24.95,5.92,0.8,32.44,26.12,Borage,9857.01,0.66,487.71
4.58,1.26,13.46,5.06,0.78,49.47,37.98,Wildflower,5205.15,0.66,212.98
5.41,1.32,15.43,5.54,0.83,39.15,20.74,Orange Blossom,5978.64,0.97,243.08
9.71,1.52,15.4,3.68,0.78,45.76,42.41,Chestnut,3815.51,0.8,770.22
5.09,1.54,15.66,3.75,0.81,24.23,40.12,Manuka,9046.33,1.0,976.69
9.08,1.75,15.54,6.21,0.79,40.69,42.93,Alfalfa,8852.34,0.64,275.45
2.03,1.31,23.26,2.89,0.79,27.37,36.79,Eucalyptus,2451.19,0.64,440.82
8.41,1.84,16.82,6.63,0.83,30.82,35.9,Manuka,8707.33,0.89,871.11
4.57,1.47,23.19,6.7,0.74,35.81,23.4,Sunflower,2671.7,0.66,581.85
9.45,1.3,16.0,7.49,0.86,38.55,42.41,Avocado,8211.19,0.66,641.42
1.64,1.72,12.01,4.46,0.89,40.47,41.19,Tupelo,8221.15,0.8,746.12
5.4,1.76,17.87,6.78,0.89,39.22,20.46,Chestnut,5825.81,1.0,966.61
1.25,1.6,17.17,2.53,0.87,46.57,20.85,Lavender,8647.74,0.85,511.38
6.08,1.31,20.12,4.02,0.71,33.51,35.33,Lavender,7950.41,1.0,603.85
5.97,1.63,17.18,4.14,0.83,20.54,34.23,Avocado,1643.96,1.0,976.69
2.74,1.85,24.38,7.38,0.72,22.69,20.73,Thyme,9203.25,0.64,583.37
2.95,1.37,18.71,5.1,0.73,46.14,25.96,Buckwheat,2545.28,0.9,617.31
4.04,1.84,16.5,6.95,0.89,23.36,27.64,Orange Blossom,4961.6,0.66,166.35
7.47,1.63,18.0,6.55,0.75,41.32,34.72,Buckwheat,5401.5,0.87,596.76
9.33,1.77,24.16,5.34,0.79,39.41,24.74,Clover,6781.06,0.66,138.65
2.46,1.4,17.25,4.71,0.82,21.98,28.63,Wildflower,3544.46,1.0,321.85
6.79,1.33,12.7,7.25,0.78,29.01,34.26,Acacia,3041.25,0.97,528.18
5.45,1.53,24.28,6.74,0.85,48.07,22.04,Blueberry,7721.1,0.95,896.25
6.99,1.62,13.94,4.89,0.7,23.0,43.89,Sunflower,4513.98,1.0,885.99
1.73,1.77,14.44,6.2,0.71,34.44,37.51,Sunflower,3311.54,0.68,604.01
7.68,1.54,16.05,3.17,0.89,33.63,22.31,Avocado,3479.63,0.82,797.8
6.75,1.6,17.22,5.76,0.72,23.88,38.47,Tupelo,2353.89,1.0,936.38
5.89,1.49,12.5,5.94,0.8,45.24,24.27,Buckwheat,7974.11,0.95,648.14
7.64,1.6,24.43,5.66,0.86,49.45,28.68,Rosemary,3202.38,0.66,499.59
9.43,1.75,12.12,5.96,0.79,32.21,26.73,Chestnut,2043.85,0.66,632.86
4.74,1.42,17.96,4.05,0.82,37.54,34.41,Acacia,7585.59,1.0,543.41
4.22,1.86,24.35,3.89,0.78,36.37,33.3,Acacia,1989.64,0.82,442.79
9.39,1.36,20.02,7.32,0.77,33.9,42.13,Acacia,5160.77,0.66,356.87
8.1,1.82,16.7,4.98,0.87,44.33,25.83,Chestnut,6790.51,0.82,794.4
1.86,1.57,20.66,5.21,0.79,24.11,40.28,Avocado,2978.99,0.64,621.87
9.49,1.56,14.26,5.84,0.88,37.55,29.1,Clover,4115.08,0.68,143.93
1.32,1.3,23.04,2.83,0.88,40.98,40.87,Lavender,4792.56,0.64,384.48
7.2,1.6,23.03,3.77,0.87,30.54,33.52,Borage,5867.95,1.0,744.91
6.44,1.64,22.46,6.53,0.87,39.46,39.29,Borage,3888.23,0.99,738.94
1.52,1.8,22.93,5.49,0.71,28.36,38.96,Sage,3284.49,0.66,612.96
4.91,1.23,20.77,6.7,0.9,26.35,34.15,Avocado,4699.61,0.97,949.32
8.16,1.59,13.06,6.8,0.74,34.18,32.42,Chestnut,7118.99,0.68,658.98
1.72,1.34,18.32,6.34,0.84,28.16,22.3,Wildflower,9831.06,0.61,196.23
7.88,1.61,17.25,4.4,0.71,48.43,23.54,Buckwheat,8770.89,1.0,684.45
1.68,1.55,22.09,6.45,0.89,29.44,34.92,Alfalfa,7440.01,0.66,286.27
6.61,1.78,14.22,5.36,0.86,23.0,23.05,Alfalfa,4135.22,0.95,409.66
8.28,1.68,21.0,2.65,0.72,24.59,24.67,Rosemary,9541.31,0.61,460.31
8.68,1.47,17.67,3.9,0.78,47.35,37.61,Wildflower,5827.9,1.0,321.85
9.31,1.58,15.09,4.82,0.87,46.39,37.01,Manuka,1876.05,0.8,776.29
2.38,1.58,18.31,2.88,0.71,27.34,40.5,Buckwheat,5339.07,0.64,435.8
1.47,1.46,20.31,3.6,0.88,31.68,21.5,Rosemary,4976.36,0.82,616.7
9.32,1.63,17.26,3.11,0.73,26.79,42.65,Lavender,8161.95,1.0,603.85
8.46,1.76,20.53,6.5,0.7,41.39,37.39,Tupelo,8041.91,0.66,619.63
9.98,1.5,21.64,6.85,0.78,39.78,22.2,Eucalyptus,5387.62,0.66,456.11
1.72,1.83,15.04,7.48,0.86,37.72,40.5,Sage,2918.55,0.66,608.32
5.56,1.52,24.04,5.02,0.75,25.71,20.38,Clover,1932.89,0.92,194.22
6.2,1.79,15.51,2.9,0.81,20.04,42.09,Sage,9201.05,0.95,877.16
8.99,1.64,13.63,3.99,0.78,22.37,22.18,Avocado,2492.5,0.77,751.86
2.46,1.29,17.37,4.77,0.9,26.24,43.19,Blueberry,2526.0,1.0,946.46
2.3,1.78,14.34,3.07,0.7,44.84,42.52,Sage,9031.43,0.8,738.09
7.47,1.45,13.89,7.02,0.74,24.45,44.8,Eucalyptus,9405.92,0.88,609.02
3.98,1.24,13.65,6.11,0.78,21.33,20.76,Wildflower,9063.36,0.64,204.93
3.44,1.73,15.56,6.75,0.76,29.75,23.62,Chestnut,4538.76,0.64,615.46
9.54,1.42,20.45,5.46,0.83,41.35,31.49,Sunflower,4872.86,0.9,799.08
3.48,1.71,17.69,5.97,0.82,31.11,37.67,Sunflower,5755.98,0.89,790.21
3.37,1.38,18.32,5.3,0.75,34.86,20.62,Buckwheat,5106.5,0.9,613.88
2.28,1.38,13.15,5.12,0.73,41.0,39.23,Eucalyptus,8968.25,0.9,626.4
4.57,1.34,23.47,3.98,0.76,35.15,28.72,Lavender,2928.35,0.84,508.35
5.69,1.46,22.9,4.22,0.74,26.56,20.33,Sunflower,9050.69,1.0,885.99
9.02,1.69,12.84,3.54,0.75,31.62,37.45,Alfalfa,6475.56,0.84,364.2
3.48,1.57,13.75,5.99,0.84,42.09,41.5,Lavender,3885.32,0.64,384.48
2.01,1.7,21.92,5.76,0.87,37.89,23.95,Orange Blossom,7903.58,0.66,165.09
3.79,1.74,21.93,5.27,0.88,29.34,28.96,Lavender,2186.39,0.64,383.27
1.75,1.78,15.51,4.65,0.75,30.72,38.61,Orange Blossom,8765.56,0.84,211.63
2.19,1.35,14.23,2.98,0.75,29.57,38.12,Blueberry,7019.62,0.66,626.3
4.35,1.83,20.48,5.18,0.82,38.7,37.06,Eucalyptus,4279.02,0.68,473.48
6.93,1.81,18.58,5.77,0.86,25.45,43.77,Tupelo,4146.32,0.95,886.7
9.67,1.56,23.47,6.54,0.81,29.24,28.53,Avocado,4712.51,0.66,646.3
4.21,1.65,24.69,6.19,0.79,29.52,30.06,Orange Blossom,2112.57,0.64,159.56
5.14,1.67,21.72,2.76,0.9,31.4,32.54,Borage,5742.49,0.99,738.94
3.95,1.37,13.99,3.49,0.79,41.81,27.84,Sunflower,1831.21,1.0,885.99
6.04,1.32,24.05,6.89,0.77,34.76,39.35,Clover,9981.06,0.96,203.73
3.53,1.23,23.28,2.58,0.87,29.93,27.25,Wildflower,2890.28,0.66,212.98
5.39,1.48,12.88,3.76,0.83,38.34,42.3,Thyme,8267.25,1.0,916.22
2.6,1.31,21.85,3.86,0.81,49.34,20.92,Orange Blossom,3307.82,0.8,200.31
7.97,1.66,23.35,2.74,0.74,37.61,32.67,Heather,8522.85,0.68,631.49
8.93,1.38,18.35,3.11,0.72,43.69,41.72,Rosemary,6168.32,1.0,754.98
7.56,1.58,21.62,5.07,0.76,25.86,26.18,Tupelo,2811.15,0.66,619.63
2.24,1.5,13.96,3.54,0.81,24.05,32.37,Tupelo,6158.34,0.82,769.55
6.87,1.78,23.97,3.14,0.8,33.17,22.48,Rosemary,3151.16,1.0,754.98
9.46,1.47,13.17,4.56,0.7,29.63,33.45,Avocado,8473.85,0.82,802.69
6.33,1.22,18.99,6.97,0.81,46.19,28.91,Chestnut,7574.96,0.97,939.52
6.94,1.49,13.05,6.32,0.71,29.0,26.75,Buckwheat,5623.65,0.97,665.27
9.19,1.28,17.5,5.07,0.87,39.13,25.35,Lavender,6067.7,0.89,538.57
9.86,1.56,13.57,4.19,0.79,38.35,29.43,Avocado,1746.27,0.82,795.84
3.88,1.53,14.53,6.05,0.76,26.52,40.83,Tupelo,7278.99,0.64,596.2
4.6,1.76,14.9,6.67,0.83,26.81,33.38,Orange Blossom,2801.29,0.66,166.35
9.79,1.38,15.57,2.92,0.77,34.98,21.24,Wildflower,2888.24,0.9,288.67
6.88,1.48,15.33,7.18,0.84,44.27,30.78,Blueberry,7825.24,0.97,919.93
1.49,1.67,16.76,6.21,0.72,48.81,24.38,Acacia,2845.24,0.64,345.99
6.19,1.82,23.03,3.39,0.75,38.31,36.83,Wildflower,2874.81,1.0,321.85
7.3,1.8,20.84,5.96,0.88,22.65,25.89,Sunflower,6711.82,0.66,586.28
4.49,1.79,14.66,3.49,0.75,27.54,29.74,Clover,2471.86,0.8,167.81
5.23,1.75,18.27,5.88,0.83,49.48,43.46,Thyme,6760.64,0.95,867.61
8.32,1.27,22.97,5.82,0.72,45.19,32.55,Manuka,5853.68,0.66,646.3
6.5,1.75,24.2,5.98,0.88,37.1,30.33,Avocado,6858.89,0.99,968.87
5.91,1.36,18.96,3.37,0.79,26.98,33.21,Wildflower,7590.42,1.0,321.85
3.18,1.25,17.49,3.94,0.89,45.94,21.03,Borage,4242.34,1.0,744.91
5.94,1.3,19.05,4.53,0.84,35.64,40.15,Chestnut,8761.49,1.0,966.61
5.66,1.43,23.56,7.33,0.81,34.0,43.1,Avocado,4459.53,1.0,976.69
6.91,1.25,19.16,6.56,0.84,24.54,26.82,Thyme,6215.26,0.97,890.54
7.09,1.39,21.72,5.28,0.8,25.71,42.46,Sage,1721.3,1.0,926.3
1.72,1.72,24.57,4.32,0.71,28.23,30.2,Orange Blossom,2739.77,0.82,206.6
5.3,1.3,15.03,3.9,0.84,24.79,33.34,Orange Blossom,3216.0,1.0,251.38
5.54,1.63,19.56,4.56,0.74,20.56,35.36,Thyme,5680.02,1.0,916.22
8.41,1.51,13.84,5.18,0.77,36.95,42.82,Rosemary,8356.59,0.66,495.81
8.57,1.24,23.89,2.62,0.88,21.93,32.42,Thyme,4766.7,0.66,606.29
1.4,1.58,24.58,3.2,0.84,23.2,29.47,Borage,5578.91,0.82,612.19
9.28,1.4,17.74,3.87,0.79,24.48,32.7,Acacia,4437.12,1.0,543.41
5.8,1.55,16.05,3.2,0.86,47.94,39.08,Chestnut,6737.85,1.0,966.61
7.74,1.26,18.41,4.38,0.82,28.59,36.76,Alfalfa,2612.25,0.82,355.54
6.98,1.3,14.39,6.51,0.79,45.61,42.1,Thyme,2383.15,0.92,842.85
1.5,1.52,21.55,6.95,0.76,26.96,41.21,Wildflower,7652.71,0.64,204.93
9.38,1.57,12.32,4.46,0.81,26.45,30.26,Blueberry,3635.51,0.82,777.84
7.37,1.79,23.3,7.43,0.89,26.61,42.09,Avocado,3029.32,0.64,621.87
8.87,1.77,20.14,4.71,0.71,41.42,28.25,Avocado,3099.81,0.82,802.69
7.22,1.54,12.87,7.39,0.83,23.6,32.1,Lavender,7329.19,0.66,399.58
7.37,1.28,15.81,4.0,0.8,35.76,21.54,Borage,9828.24,0.79,588.34
5.1,1.63,21.82,4.02,0.84,25.08,43.56,Orange Blossom,3919.9,1.0,251.38
2.41,1.35,17.86,6.12,0.79,23.91,37.89,Heather,5108.58,0.87,807.62
1.07,1.67,18.93,5.51,0.78,22.6,33.37,Orange Blossom,1649.02,0.64,159.56
9.49,1.71,23.32,5.35,0.71,35.97,34.62,Tupelo,7715.19,0.68,638.37
3.6,1.79,23.24,6.25,0.84,47.02,36.16,Borage,3243.4,0.66,492.92
4.18,1.84,22.59,3.44,0.83,36.6,29.39,Buckwheat,3478.52,0.84,576.21
6.8,1.83,20.53,3.47,0.71,39.05,26.07,Wildflower,7378.02,1.0,321.85
4.44,1.38,18.83,6.02,0.76,30.05,39.01,Clover,3111.71,0.92,194.64
8.19,1.71,24.85,7.25,0.77,47.82,42.47,Sage,6664.67,0.64,589.79
9.53,1.81,13.09,3.34,0.81,23.41,27.02,Sage,2944.49,0.82,761.27
2.65,1.44,23.77,3.93,0.88,48.88,30.23,Clover,3286.25,1.0,211.13
5.32,1.31,19.41,6.95,0.74,33.43,22.21,Borage,5879.0,0.97,720.3
1.0,1.3,21.83,4.83,0.82,34.83,36.4,Wildflower,8197.6,0.84,270.95
9.47,1.29,13.11,2.9,0.83,20.12,22.48,Wildflower,8686.47,0.64,204.93
2.26,1.3,16.31,6.22,0.72,23.71,37.17,Rosemary,3727.31,0.66,499.59
8.56,1.45,19.77,4.93,0.89,24.59,23.7,Eucalyptus,6817.74,0.8,553.41
3.0,1.4,22.06,6.74,0.89,20.59,27.57,Sunflower,8858.73,0.9,799.08
5.15,1.46,18.64,6.4,0.8,44.3,24.03,Alfalfa,9102.55,0.95,409.66
3.34,1.82,20.83,6.44,0.73,21.72,42.89,Blueberry,8374.73,0.64,602.62
8.96,1.62,17.64,6.24,0.76,36.72,32.87,Eucalyptus,8829.59,0.89,619.45
3.56,1.46,23.84,3.7,0.81,40.69,29.22,Chestnut,9148.24,0.82,794.4
9.46,1.83,16.23,2.52,0.84,34.32,43.33,Thyme,7438.49,0.66,601.7
9.73,1.65,14.76,3.03,0.85,26.32,43.47,Blueberry,1634.48,0.77,728.58
3.11,1.77,16.02,5.04,0.82,24.23,23.06,Avocado,9618.03,0.61,595.49
3.29,1.64,15.92,5.55,0.85,45.64,28.39,Avocado,2742.6,0.66,646.3
3.09,1.42,23.08,5.12,0.74,42.07,31.24,Wildflower,4920.29,0.9,290.28
7.07,1.43,12.24,3.67,0.73,37.49,27.78,Rosemary,9915.28,1.0,754.98
8.28,1.37,19.51,2.55,0.77,25.46,33.91,Borage,7886.3,0.9,671.84
5.99,1.76,21.44,5.84,0.79,32.34,37.63,Alfalfa,2959.3,0.99,429.15
4.54,1.42,12.42,2.85,0.76,34.25,42.11,Thyme,3085.01,0.9,821.76
8.27,1.4,18.62,5.1,0.81,27.52,35.04,Tupelo,7452.24,0.9,844.53
9.31,1.35,17.07,4.96,0.77,49.45,34.78,Alfalfa,6354.0,1.0,432.62
6.27,1.32,23.24,5.19,0.77,39.03,43.94,Orange Blossom,9350.26,0.97,243.08
3.35,1.82,15.94,5.33,0.79,26.63,34.96,Sunflower,5987.78,0.66,586.28
8.7,1.62,24.9,6.74,0.77,20.15,35.76,Blueberry,2815.69,0.66,626.3
9.73,1.8,17.56,5.25,0.77,49.43,32.34,Eucalyptus,8762.93,0.87,605.54
8.72,1.65,19.06,3.09,0.86,43.83,21.25,Orange Blossom,8085.18,0.8,200.31
9.81,1.23,14.46,7.47,0.86,48.87,35.09,Borage,7761.08,0.66,492.92
7.03,1.58,19.3,6.73,0.79,34.39,42.68,Eucalyptus,7748.0,0.97,671.58
6.84,1.81,12.36,5.77,0.72,38.7,25.46,Eucalyptus,3489.55,0.99,688.96
2.36,1.28,21.29,3.81,0.83,48.98,26.62,Alfalfa,3419.16,0.82,355.54
7.71,1.37,18.88,4.79,0.76,36.33,26.17,Heather,7293.24,1.0,926.3
2.76,1.38,12.14,3.16,0.86,38.76,38.82,Alfalfa,4758.62,1.0,432.62
3.57,1.38,13.36,6.92,0.78,38.31,21.96,Chestnut,6797.69,0.9,866.96
5.13,1.4,12.51,2.88,0.81,21.46,23.95,Borage,2192.18,1.0,744.91
7.55,1.33,23.1,6.85,0.72,21.58,24.39,Avocado,7942.26,0.64,621.87
8.73,1.28,21.44,6.9,0.79,33.32,28.45,Rosemary,7586.18,0.68,514.7
9.19,1.42,15.74,6.26,0.76,36.73,28.05,Thyme,5136.28,0.92,844.69
1.43,1.84,14.56,6.52,0.89,49.97,37.22,Sage,7552.11,0.66,612.96
9.64,1.29,24.83,3.72,0.79,34.66,20.22,Buckwheat,4189.97,0.82,559.08
3.87,1.52,18.78,4.11,0.79,42.77,22.38,Eucalyptus,4610.14,0.8,553.41
7.7,1.73,24.97,3.96,0.78,28.15,20.78,Acacia,8025.23,0.8,433.0
2.86,1.3,20.27,4.44,0.88,35.6,26.79,Manuka,6994.94,0.84,822.23
4.54,1.33,21.75,4.03,0.85,33.82,20.54,Lavender,9866.55,0.79,476.93
8.95,1.31,18.28,6.59,0.87,40.33,42.99,Lavender,9371.38,0.64,384.48
